,COUNTRY_CODE,SITECODE,SPECIESNAME,SPECIESCODE,REF_SPGROUP,SPGROUP,SENSITIVE,NONPRESENCEINSITE,POPULATION_TYPE,LOWERBOUND,UPPERBOUND,COUNTING_UNIT,ABUNDANCE_CATEGORY,DATAQUALITY,POPULATION,CONSERVATION,ISOLATION,GLOBAL,INTRODUCTION_CANDIDATE
11713,UA,UA0000018,Plegadis falcinellus,A032,,Birds,0.0,0.0,c,300.0,0.0,i,,M,B,A,C,B,No
1552,MK,MK0000017,Bombina variegata,1193,Amphibians,Amphibians,0.0,0.0,p,0.0,0.0,,C,,B,B,C,B,No
42411,RU,RU5201377,Castor fiber,1337,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,C,,C,B,C,B,No
12627,UA,UA0000032,Lullula arborea,A246,,Birds,0.0,0.0,r,1.0,20.0,p,,M,C,C,A,C,No
36863,RU,RU2100051,Chlidonias leucopterus,A198,,Birds,0.0,0.0,r,0.0,0.0,,P,,C,B,C,B,No
45274,RU,RU7700566,Ficedula parva,A320,,Birds,0.0,0.0,r,0.0,0.0,,R,,C,B,C,B,No
50540,GE,GE0000003,Egretta alba,A027,,Birds,0.0,0.0,r,0.0,0.0,,P,,C,B,C,C,No
23429,UA,UA0000218,Euphydryas aurinia,1065,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,C,M,D,,,,No
28102,NO,NO0000214,Luscinia svecica,A272,,Birds,0.0,0.0,r,0.0,0.0,,C,,C,A,C,C,No
52432,GE,GE0000054,Lanius collurio,A338,,Birds,0.0,0.0,r,0.0,0.0,p,R,,C,B,C,C,No
3404,AL,AL0000014,Ixobrychus minutus,A022,,Birds,0.0,0.0,r,2.0,5.0,i,,G,D,,,,No
24276,UA,UA0000242,Ixobrychus minutus,A022,,Birds,0.0,0.0,r,40.0,50.0,p,,M,C,B,C,C,No
3360,MK,MK0000012,Dendrocopos medius,A238,,Birds,0.0,0.0,p,1.0,5.0,p,,M,D,,,,No
24047,UA,UA0000236,Chlidonias niger,A197,,Birds,0.0,0.0,r,50.0,100.0,p,,M,C,B,C,C,No
11360,UA,UA0000016,Glareola pratincola,A135,,Birds,0.0,0.0,c,1.0,5.0,i,,M,C,C,C,C,No
16079,UA,UA0000092,Charadrius alexandrinus,A138,,Birds,0.0,0.0,r,80.0,0.0,p,,M,B,A,B,B,No
25582,UA,UA0000325,Triturus cristatus,1166,Amphibians,Amphibians,0.0,0.0,p,100.0,100.0,i,R,M,C,B,C,C,No
47532,BY,BY0000054,Emys orbicularis,1220,Reptiles,Reptiles,0.0,0.0,p,0.0,0.0,,R,DD,D,B,C,C,No
40498,RU,RU4601066,Lutra lutra,1355,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,,C,B,C,C,No
31058,NO,NO0000535,Tetrao urogallus,A108,,Birds,0.0,0.0,p,0.0,0.0,,P,,C,A,C,C,No
24354,UA,UA0000244,Coenonympha oedippus,1071,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,P,P,C,C,B,C,No
4289,RS,RS0000005,Lutra lutra,1355,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,P,,D,,,,No
38989,RU,RU3400543,Aquila nipalensis,A509,,Birds,0.0,0.0,r,4.0,6.0,p,,G,C,B,C,B,No
26716,NO,NO0000052,Margaritifera margaritifera,1029,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,P,,C,A,C,A,No
20503,UA,UA0000158,Lutra lutra,1355,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,M,B,B,C,B,No
45115,RU,RU7300417,Maculinea nausithous,1061,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,P,,C,B,C,B,No
39285,RU,RU3500170,Sterna hirundo,A193,,Birds,0.0,0.0,r,0.0,0.0,,P,,C,B,C,B,No
47527,BY,BY0000054,Circaetus gallicus,A080,,Birds,0.0,0.0,r,4.0,4.0,p,,P,C,B,C,A,No
27183,NO,NO0000096,Alopex lagopus,1911,Mammals,Mammals,0.0,0.0,r,0.0,0.0,,C,,C,A,C,C,No
19932,UA,UA0000147,Casmerodius albus,A027,,Birds,0.0,0.0,r,5.0,10.0,p,,M,C,B,C,C,No
8868,AZ,AZ0000017,Rhinolophus hipposideros,1303,Mammals,Mammals,0.0,0.0,p,200.0,200.0,i,C,G,B,B,B,C,No
2841,MK,MK0000006,Oenanthe hispanica,A278,,Birds,0.0,0.0,r,6.0,10.0,p,,G,C,B,C,B,No
17638,UA,UA0000113,Pelecus cultratus,2522,Fish,Fish,0.0,0.0,c,0.0,0.0,,C,M,C,B,C,B,No
31233,NO,NO0000549,Tetrao urogallus,A108,,Birds,0.0,0.0,r,0.0,0.0,,C,,C,A,C,C,No
49382,MD,MD0000007,Myotis bechsteinii,1323,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,M,C,B,A,B,No
509,AL,AL0000016,Caretta caretta,1224,Reptiles,Reptiles,0.0,0.0,c,0.0,0.0,,P,,D,,,,No
49611,MD,MD0000013,Falco cherrug,A511,,Birds,0.0,0.0,r,0.0,0.0,,R,G,B,B,A,B,No
5397,RS,RS0000034,Narcissus angustifolius,2303,Plants,Plants,0.0,0.0,p,0.0,0.0,,,,B,B,C,B,No
38783,RU,RU3400539,Aquila clanga,A090,,Birds,0.0,0.0,c,1.0,1.0,p,,G,C,A,C,B,No
14611,UA,UA0000064,Melanocorypha calandra,A242,,Birds,0.0,0.0,r,500.0,0.0,p,,M,C,B,C,C,No
1228,ME,ME000000V,Elaphe situla,1293,Reptiles,Reptiles,0.0,0.0,c,0.0,0.0,,P,,C,B,B,,No
2915,MK,MK0000025,Egretta alba,A027,,Birds,0.0,0.0,p,10.0,25.0,i,,G,A,B,C,C,No
3275,AL,AL0000024,Pelecanus crispus,A020,,Birds,0.0,0.0,w,0.0,0.0,,V,,D,,,,No
42047,RU,RU5200878,Circus macrourus,A083,,Birds,0.0,0.0,p,0.0,0.0,,P,,C,B,B,B,No
7456,CH,CH0000030,Hippolais icterina ,A299,,Birds,,,c,,,,P,,C,B,C,B,No
15816,UA,UA0000088,Hieraaetus pennatus,A092,,Birds,0.0,0.0,r,2.0,3.0,p,,M,C,B,C,C,No
46307,BY,BY0000011,Triturus cristatus,1166,Amphibians,Amphibians,0.0,0.0,p,0.0,0.0,,P,,D,,,,No
30042,NO,NO0000420,Glaucidium passerinum,A217,,Birds,0.0,0.0,w,0.0,0.0,,R,,C,A,C,C,No
48512,BY,BY0000111,Ciconia nigra,A030,,Birds,0.0,0.0,r,0.0,2.0,p,V,M,C,C,C,C,No
12851,UA,UA0000035,Carlina onopordifolia,2249,Plants,Plants,0.0,0.0,p,251.0,500.0,i,C,M,B,B,A,B,No
41777,RU,RU5200141,Strix uralensis,A220,,Birds,0.0,0.0,p,15.0,25.0,p,,G,C,B,C,B,No
4410,RS,RS0000007,Rosalia alpina,1087,Invertebrates,Invertebrates,0.0,0.0,w,0.0,0.0,,,,B,C,B,C,No
2733,MK,MK0000003,Tetrax tetrax,A128,,Birds,0.0,0.0,r,1.0,5.0,i,,G,A,B,A,C,No
20787,UA,UA0000164,Crex crex,A122,,Birds,0.0,0.0,r,1.0,5.0,m,,M,C,C,C,C,No
36166,RU,RU1800432,Dryocopus martius,A236,,Birds,0.0,0.0,p,0.0,0.0,,P,,C,B,C,B,No
27548,NO,NO0000139,Podiceps auritus,A007,,Birds,0.0,0.0,r,0.0,0.0,,P,,C,A,C,C,No
51871,GE,GE0000040,Leucorrhinia pectoralis,1042,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,P,,D,,,,No
2621,MK,MK0000023,Falco peregrinus,A103,,Birds,0.0,0.0,p,1.0,2.0,p,,G,B,B,C,C,No
52221,GE,GE0000050,Agriades glandon aquilo,1930,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,,,B,A,B,C,No
51221,GE,GE0000016,Bubo bubo,A215,,Birds,0.0,0.0,p,0.0,0.0,,P,,B,C,C,B,No
44052,RU,RU6401197,Crex crex,A122,,Birds,0.0,0.0,r,0.0,0.0,,C,,C,B,C,B,No
32931,RU,RU0700039,Milvus migrans,A073,,Birds,0.0,0.0,c,0.0,0.0,,P,,C,B,C,C,No
50545,GE,GE0000003,Falco biarmicus,A101,,Birds,0.0,0.0,p,0.0,0.0,,,M,C,A,C,C,No
7315,CH,CH0000028,Locustella naevia,A290,,Birds,,,c,,,,P,,C,B,C,C,No
20808,UA,UA0000165,Circaetus gallicus,A080,,Birds,0.0,0.0,r,1.0,5.0,p,,M,C,B,C,C,No
44721,RU,RU7100824,Sylvia nisoria,A307,,Birds,0.0,0.0,r,0.0,0.0,,R,,C,B,C,B,No
2814,MK,MK0000005,Myotis blythii,1307,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,,B,A,C,A,No
34144,RU,RU0900043,Aquila clanga,A090,,Birds,0.0,0.0,c,0.0,0.0,,P,,C,B,C,C,No
50070,MD,MD0000044,Lutra lutra,1355,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,G,C,C,B,C,No
52564,GE,GE0000057,Dicranum viride,1381,Plants,Plants,0.0,0.0,p,0.0,0.0,,P,M,C,B,C,C,No
19994,UA,UA0000149,Aquila pomarina,A089,,Birds,0.0,0.0,c,1.0,5.0,i,,M,C,C,C,C,No
30502,NO,NO0000488,Podiceps auritus,A007,,Birds,0.0,0.0,c,0.0,0.0,,V,,C,A,C,C,No
52525,GE,GE0000056,Ligularia sibirica,1758,Plants,Plants,0.0,0.0,p,0.0,0.0,,P,,C,C,C,C,No
20071,UA,UA0000150,Phocoena phocoena,1351,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,R,M,C,C,A,C,No
22332,UA,UA0000191,Cerambyx cerdo,1088,Invertebrates,Invertebrates,0.0,0.0,p,0.0,0.0,,V,M,D,,,,No
317,AL,AL0000009,Myotis myotis,1324,Mammals,Mammals,0.0,0.0,p,0.0,0.0,,P,,C,C,C,C,No
